Nombre_Pelicula,Director,Puntuación,Guionistas,Argumento,Duración
Shulie,Elisabeth Subrin,6.4,Elisabeth Subrin,"A shot-by-shot reenactment of an unreleased 1967 documentary portrait of SAIC student Shulamith Firestone, who, a few years later, would become a central figure in the rise of radical feminism.",37m
Snowblind,No info,7.0,No info,"Revealing the entrepreneurial ingenuity, paranoia and bloodshed behind the cocaine trade, in the true story of smuggler, Zachary Swan, who ran rings around police and customs officials in the early 70s.",No info
Chatô: O Rei do Brasil,Guilherme Fontes,5.9,"João Emanuel Carneiro, Guilherme Fontes, Matthew Robbins","The story of Assis Chateaubriand, the first magnate of communication in Brazil. Due to his influence during the late 1930s up to the early 1960s, he has come to be called The Brazilian Citizen Kane.",1h 42m
Transeúntes,Luis Aller,6.7,"Luis Aller, María José Garcia, María José García","Passers-by is a constructivist, multiple, fragmented and cosmic film... a cinematographic Big Bang resulting from a thorough conception and edition work by Director Luis Aller. Passers-by exposes us to ephemeralness inside hundreds of human beings' lives in their particular evolutions, and allows us to watch them as though we open a wide window over the city of Barcel... Read all",1h 41m
The Stanford Prison Experiment,Kyle Patrick Alvarez,6.8,"Tim Talbott, Philip Zimbardo","In 1971, twenty-four male students are selected to take on randomly assigned roles of prisoners and guards in a mock prison situated in the basement of the Stanford psychology building.",2h 2m
High-Rise,Ben Wheatley,5.5,"Amy Jump, J.G. Ballard",Life for the residents of a tower block begins to run out of control.,1h 59m
The Man Who Knew Infinity,Matt Brown,7.2,"Robert Kanigel, Matt Brown","The story of the life and academic career of the pioneer Indian mathematician, Srinivasa Ramanujan, and his friendship with his mentor, Professor G.H. Hardy.",1h 48m
Miles Ahead,Don Cheadle,6.4,"Steven Baigelman, Don Cheadle, Stephen J. Rivele",An exploration of the life and music of Miles Davis.,1h 40m
The Danish Girl,Tom Hooper,7.1,"Lucinda Coxon, David Ebershoff",A fictitious love story loosely inspired by the lives of Danish artists Lili Elbe and Gerda Wegener. Lili and Gerda's marriage and work evolve as they navigate Lili's groundbreaking journey as a transgender pioneer.,1h 59m
Chooriyan,Sukhwant Dhadda,5.6,"Sukhwant Dhadda, Harinder, Vivek Kumar","Chooriyan is the story of Simran (Gracy Singh), an orphan who has always dreamt of being a part of a family. Her dream finally comes true when Army Office Aman (Sudanshu Pandde) asks her to marry him and she lives happily as part of Aman's family. Aman and Simran cherish every moment before he returns back to his army duty. Before he leaves, Simran makes a vow to him ... Read all",No info
Rosie & Me,Armando Milano,No info,Armando Milano,"A young journalist on his first assignment falls in love with his subject, an up and coming nightclub singer.",9m
The Invite,No info,No info,Armando Milano,A mysterious messenger delivers blank invitations to unsuspecting people that have more in common than we think.,No info
Zöld fény,Daniel Molnár,No info,Anita Pataki,"A girl realizes, she's in The Sims.",11m
Memòries,Gerard Dalmau,No info,Gerard Dalmau,,No info
Dangebaaz,No info,No info,Gerard Dalmau,,No info
Christmas for the Rest of Us,No info,No info,Gerard Dalmau,,No info
Jeremy,No info,No info,Gerard Dalmau,,7m
This Other American Life,Hiroki Wakamatsu,No info,Tasha Cohan,Carly decides to interview her father for a school project; the subject: why she was taken away from her mother.,15m
Fed Up,Mircea Daneliuc,6.1,Mircea Daneliuc,"Young Doina has a car accident. In intensive care, the doctor, Vali, calls her time of death but discovers that the child she was carrying is still alive. Wishing to save its life, the doctor puts the mother on artificial life support.",1h 33m
Transeúntes,Luis Aller,6.7,"Luis Aller, María José Garcia, María José García","Passers-by is a constructivist, multiple, fragmented and cosmic film... a cinematographic Big Bang resulting from a thorough conception and edition work by Director Luis Aller. Passers-by exposes us to ephemeralness inside hundreds of human beings' lives in their particular evolutions, and allows us to watch them as though we open a wide window over the city of Barcel... Read all",1h 41m
Prozac tango,Michaël Souhaité,6.1,"François Hitter, Marie-Pierre Huster, Michaël Souhaité","Sweet and bitter comedy about urban life, Prozac Tango stages seven characters who will kill each other, cross paths, meet, miss each other and perhaps love each other.",19m
Ant-Man,Peyton Reed,7.2,"Edgar Wright, Joe Cornish, Adam Mc, Kay","Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, pull off a plan that will save the world.",1h 57m
The Wedding Ringer,Jeremy Garelick,6.6,"Jeremy Garelick, Jay Lavender","Two weeks shy of his wedding, a socially awkward guy enters into a charade by hiring the owner of a company that provides best men for grooms in need.",1h 41m
