Nombre_Actor,Año_nacimiento,Premios,Qué_hace,Conocido_por
Geraldine O'Rawe,4 de marzo,No info,"Reparto, Guion, Producción","Mariette in Ecstasy, Círculo de amigos, Adoration"
Eva Marie Saint,4 de julio de 1924,12 premios y 13 nominaciones en total,"Reparto, Producción, Banda sonora","La ley del silencio, Con la muerte en los talones, Superman Returns: El regreso"
Tianliu Jiang,No info,No info,"Reparto, Guion","Taitai Wansui, Xiao baiqi de fengbo, Qianfang laixin"
Guiling Wang,No info,No info,Reparto,No info
Ming Wen,No info,No info,Reparto,No info
Edward Norton,18 de agosto de 1969,47 premios y 90 nominaciones en total,"Reparto, Producción, Guion","El club de la lucha, American History X, Las dos caras de la verdad"
Gugu Mbatha-Raw,21 de abril de 1983,10 premios y 30 nominaciones en total,"Reparto, Producción, Banda sonora","Belle, Beyond the Lights, La verdad duele"
Alec Baldwin,3 de abril de 1958,46 premios y 114 nominaciones en total,"Reparto, Producción, Música","Infiltrados, No es tan fácil, The Cooler"
Travis Fimmel,15 de julio de 1979,4 nominaciones,"Reparto, Producción","Warcraft: El origen, Vikingos, Forajidos de Baytown"
Toby Blome,No info,No info,Reparto,"Danger Close: La batalla de Long Tan, The Twelve, Jimpa"
Alexander England,No info,5 nominaciones,Reparto,"Alien: Covenant, Dioses de Egipto, Paper Giants: Magazine Wars"
Sebastian Stan,13 de agosto de 1982,2 premios y 18 nominaciones en total,"Reparto, Producción, Banda sonora","Capitán América: El Soldado de Invierno, Capitán América: Civil War, Capitán América: El primer vengador"
Alison Sudol,23 de diciembre de 1984,No info,"Reparto, Guion, Composición","Animales fantásticos y dónde encontrarlos, Animales fantásticos: Los crímenes de Grindelwald, Animales fantásticos: Los secretos de Dumbledore"
Asher Miles Fallica,No info,1 nominación,Reparto,"Tully, FBI: International, Greener Grass"
Colson Baker,22 de abril de 1990,8 premios y 12 nominaciones,"Reparto, Composición, Dirección","The Dirt, Good Mourning, Proyecto Power"
Erin Ownbey,No info,3 nominaciones,Reparto,"Ozark, Echo, Panhandle"
Douglas Booth,9 de julio de 1992,7 premios y 1 nominación,"Reparto, Guion, Producción","Orgullo + Prejuicio + Zombis, LOL, El destino de Júpiter"
