ano,pelicula,director,actor,actriz
1929,Alas (Wings) (1927),Drama:  F. BorzageCom.:  L. Milestone,E. Jannings (The Last Command),J. Gaynor (7th Heaven)
1930,La melodia de Broadway (The Broadway melody) (1929),F. Lloyd (The Divine Lady),W. Baxter (In Old Arizona),M. Pickford (Coquette)
1930,Sin novedad en el frente (All quiet on the western front (1930),L. MilestoneSin novedad en el frente  (All quiet on the western front)  (1930),G. Arliss (Disraeli),N. Shearer (The Divorcee)
1931,Cimarron (1931),N. Taurog (Skippy),L. Barrymore (A Free Soul),M. Dressler (Min and Bill)
1932,Grand Hotel,F. Borzage (Bad Girl),F. March W. Beery,H. Hayes (The Sin of Madelon Claudet)
1934,Cavalcade,F. Lloyd (Cavalcade),C. Laughton (The Private Life of Henry VIII),K. Hepburn (Morning Glory)
1935,It Happened One Night,F. Capra (It Happened One Night),C. Gable (It Happened One Night),C. Colbert (It Happened One Night)
1936,Mutiny on the Bounty,J. Ford (The Informer),V. McLaglen (The Informer),B. Davis (Dangerous)
1937,The Great Ziegfeld,F. Capra (Mr. Deeds Goes to Town),P. Muni (The Story of Louis Pasteur),L. Rainer (The Great Ziegfeld)
1938,life of emile !The Life of Emile Zola,L. McCarey (The Awful Truth),S. Tracy (Captains Courageous),L. Rainer (The Good Earth)
1939,You Can't Take It With You,F. Capra (You Can't Take It With You),S. Tracy (Boys Town),B. Davis (Jezebel)
"1940,Gone with the Wind,V. Fleming (Gone with the Wind),""R. Donat (Goodbye, Mr. Chips)"",V. Leigh (Gone with the Wind)"
1941,Rebecca,J. Ford (The Grapes of Wrath),J. Stewart (The Philadelphia Story),G. Rogers (Kitty Foyle)
1942,How Green Was My Valley,J. Ford (How Green Was My Valley),G. Cooper (Sergeant York),J. Fontaine (Suspicion)
1943,MrS. Miniver,W. Wyler (MrS. Miniver),J. Cagney (Yanqui Dandy),G. Garson (MrS. Miniver)
1944,Casablanca,M. Curtiz (Casablanca),P. Lukas (Watch on the Rhine),J. Jones (The Song of Bernadette)
1945,Going My Way,L. McCarey (Going My Way),B. Crosby (Going My Way),I. Bergman (Gaslight)
1946,The Lost Weekend,B. Wilder (The Lost Weekend),R. Milland (The Lost Weekend),J. Crawford (Mildred Pierce)
1947,The Best Years of Our Lives,W. Wyler (The Best Years of Our Lives),F. March (The Best Years of Our Lives),O. de Havilland (To Each His Own)
1948,Gentleman's Agreement,E. Kazan (Gentleman's Agreement),R. Colman (A Double Life),L. Young (The Farmer's Daughter)
1949,Hamlet,J. Huston (The Treasure of the Sierra Madre),L. Olivier (Hamlet),J. Wyman (Johnny Belinda)
1950,All the King's Men,J. Mankiewicz (A Letter to Three Wives),B. Crawford (All the King's Men),O. de Havilland (The Heiress)
1951,All About Eve,J. Mankiewicz (All About Eve),J. Ferrer (Cyrano de Bergerac),J. Holliday (Born Yesterday)
1952,An American in Paris,G. Stevens (A Place in the Sun),H. Bogart (The African Queen),V. Leigh (A Streetcar Named Desire)
"1953,The Greatest Show on Earth,J. Ford (The Quiet Man),G. Cooper (High Noon),""S. Booth (Come Back, Little Sheba)"""
1954,From Here to Eternity,F. Zinnemann (From Here to Eternity),W. Holden (Stalag 17),A. Hepburn (Roman Holiday)
1955,On the Waterfront,E. Kazan (On the Waterfront),M. Brando (On the Waterfront),G. Kelly (The Country Girl)
1956,Marty,D. Mann (Marty),E. Borgnine (Marty),A. Magnani (The Rose Tattoo)
1957,Around the World in 80 Days,G. Stevens (Giant),Y. Brynner (The King and I),I. Bergman (Anastasia)
1958,The Bridge on the River Kwai,D. Lean (The Bridge on the River Kwai),A. Guinness (The Bridge on the River Kwai),J. Woodward (The Three Faces of Eve)
1959,Gigi,V. Minnelli (Gigi),D. Niven (Separate Table),S. Hayward (I Want to Live!)
1960,Ben-Hur,W. Wyler (Ben-Hur),C. Heston (Ben-Hur),S. Signoret (Room at the Top)
1961,apartment !The Apartment,B. Wilder (The Apartment),B. Lancaster (Elmer Gantry),E. Taylor (BUtterfield 8)
1962,West Side Story,R. Wise J. Robbins (West Side Story),M. Schell (Judgment at Nuremberg),S. Loren (La ciociara)
1963,Lawrence of Arabia,D. Lean (Lawrence of Arabia),G. Peck (To Kill a Mockingbird  (pelicula)),A. Bancroft (The Miracle Worker)
1964,Tom Jones,T. Richardson (Tom Jones),S. Poitier (Lilies of the field),P. Neal (Hud)
1965,My Fair Lady,G. Cukor (My Fair Lady),R. Harrison (My Fair Lady),J. Andrews (Mary Poppins)
1966,The Sound of Music,R. Wise (The Sound of Music),L. Marvin (Cat Ballou),J. Christie (Darling)
1967,A Man for All Seasons,F. Zinnemann (A Man for All Seasons),P. Scofield (A Man for All Seasons),E. Taylor (Who's Afraid of Virginia Woolf?)
1968,In the Heat of the Night,M. Nichols (The Graduate),R. Steiger (In the Heat of the Night),K. Hepburn (Guess Who's Coming to Dinner)
1969,Oliver!,C. Reed (Oliver!),C. Robertson (Charly),K. Hepburn B. Streisand (The Lion in Winter)
1970,Midnight Cowboy,J. Schlesinger (Midnight Cowboy),John Wayne (True Grit),M. Smith (The Prime of Miss Jean Brodie)
1971,Patton,F. Schaffner (Patton),G. C. Scott (Patton),G. Jackson (Women in Love)
1972,The French Connection,W. Friedkin (The French Connection),G. Hackman (The French Connection),J. Fonda (Klute)
1973,The Godfather,B. Fosse (Cabaret),M. Brando (El padrino),L. Minnelli (Cabaret)
1974,The Sting,G. R. Hill (The Sting),J. Lemmon (Save the Tiger),G. Jackson (A Touch of Class)
1975,El padrino II,F. F. Coppola (El padrino II),A. Carney (Harry and Tonto),E. Burstyn (Alice Doesn't Live Here Anymore)
